yy,dat,trip,effort,gr,sp,l_cm,w_cm
2003,4/30/2003,1,10,Trap,Caesoi cunning,36,1089.140174
2003,4/30/2003,1,10,trap,Caesio cuning,29,565.3879448
2003,4/30/2003,1,10,Trap,Caesio cuning,34,915.8275571
2003,4/30/2003,1,10,Trap,Caesio cuning,36,1089.140174
2003,4/30/2003,1,10,Trap,Caesio cuning,34,915.8275571
2003,4/30/2003,1,10,Trap,Caesoi cunning,28,508.318502
2003,4/30/2003,1,10,Trap,Caesio cuning,30,626.6000187
2003,4/30/2003,1,10,Trap,Caesio cuning,27,455.244325
2003,4/30/2003,1,10,Trap,Caesio cuning,33,836.5681066
2003,4/30/2003,1,10,Trap,Caesio cuning,35,999.9688213
2003,4/30/2003,1,10,Trap,Caesio cuning,40,1499.096674
2003,4/30/2003,1,10,Trap,Caesio cuning,28,508.318502
2003,4/30/2003,1,10,Trap,Caesio cuning,29,565.3879448
2003,4/30/2003,1,10,Trap,Caesio cuning,29,565.3879448
2003,4/30/2003,1,10,Trap,Caesio cuning,26,406.0182179
2003,4/30/2003,1,10,Trap,Caesio cuning,34,915.8275571
2003,4/30/2003,2,10,Muroami,Caesio cuning,27,455.244325
2003,4/30/2003,2,10,Muroami,Caesio cuning,26,406.0182179
2003,4/30/2003,2,10,Muroami,Caesio cuning,26,406.0182179
2003,4/30/2003,2,10,Muroami,Caesio cuning,28,508.318502
2003,4/30/2003,2,10,Muroami,Caesio cuning,26,406.0182179
2003,4/30/2003,2,10,Muroami,Caesio cuning,31,692.102253
2003,4/30/2003,2,10,Muroami,Caesio cuning,23,279.9590295
2003,5/1/2003,10,10,,Caesio cuning,19,156.8555911
2003,5/1/2003,10,10,Handline,Caesio cuning,16,93.15280705
2003,5/1/2003,10,10,Handline,Caesio cuning,20,183.2510568
2003,5/1/2003,10,10,Handline,Caesio cuning,21,212.4695414
2003,5/1/2003,10,10,Handline,Caesio cuning,19,
2003,5/1/2003,10,10,Handline,Caesio cuning,20,183.2510568
2003,5/1/2003,10,10,Handline,Caesio cuning,16,93.15280705
2003,5/1/2003,10,10,Handline,Caesio cuning,20,183.2510568
2003,5/1/2003,10,10,Handline,Caesio cuning,17,111.9516643
2003,5/1/2003,10,10,Handline,Caesio cuning,22,244.6568545
2003,5/1/2003,10,10,Handline,Caesio cuning,20,183.2510568
2003,5/1/2003,10,10,Handline,Caesio cuning,19,156.8555911
2003,5/1/2003,10,10,Handline,Caesio cuning,14,62.13735529
2003,5/1/2003,10,10,Handline,Caesio cuning,19,156.8555911
2003,5/1/2003,15,10,Gillnet,Caesio cuning,33,836.5681066
2003,5/1/2003,15,10,Gillnet,Caesio cuning,33,836.5681066
2003,5/1/2003,15,10,Gillnet,Caesio cuning,33,836.5681066
2003,5/1/2003,16,10,Trap,Caesio cuning,29,565.3879448
2003,5/2/2003,18,10,Trap,Caesio cuning,33,836.5681066
2003,5/4/2003,22,10,Gillnet,Caesio cuning,27,455.244325
2003,5/5/2003,23,10,Gillnet,Caesio cuning,35,999.9688213
2003,5/5/2003,23,10,Gillnet,Caesio cuning,37,1183.490027
2003,5/5/2003,23,10,Gillnet,Caesio cuning,35,999.9688213
2003,5/5/2003,24,10,Trap,Caesio cuning,31,692.102253
2003,5/5/2003,24,10,Trap,Caesio cuning,30,626.6000187
2003,5/5/2003,24,10,Trap,Caesio cuning,27,455.244325
2003,5/7/2003,31,10,Gillnet,Caesio cuning,35,999.9688213
2003,5/7/2003,32,10,Trap,Caesio cuning,27,455.244325
2003,5/8/2003,36,10,Trap,Caesio cuning,32,762.0423352
2003,5/8/2003,36,10,Trap,Caesio cuning,33,836.5681066
2003,5/8/2003,36,10,Trap,Caesio cuning,26,406.0182179
2003,5/11/2003,39,10,Trap,Caesio cuning,2400,318.522314
2003,5/11/2003,39,10,Trap,Caesio cuning,24,318.522314
2003,5/11/2003,39,10,Trap,Caesio cuning,23,279.9590295
2003,5/11/2003,39,10,Trap,Caesio cuning,23,279.9590295
2003,5/11/2003,39,10,Trap,Caesio cuning,22,244.6568545
2003,5/11/2003,40,10,Handline,Caesio cuning,31,692.102253
2003,5/12/2003,43,10,Trap,Caesio cuning,23,279.9590295
2003,5/12/2003,43,10,Trap,Caesio cuning,27,455.244325
2003,5/12/2003,43,10,Trap,Caesio cuning,26,406.0182179
2003,5/12/2003,43,10,Trap,Caesio cuning,26,406.0182179
2003,5/12/2003,43,10,Trap,Caesio cuning,23,279.9590295
2003,5/12/2003,43,10,Trap,Caesio cuning,23,279.9590295
2003,5/12/2003,43,10,Trap,Caesio cuning,24,318.522314
2003,5/12/2003,43,10,Trap,Caesio cuning,24,318.522314
2003,5/12/2003,43,10,Trap,Caesio cuning,37,1183.490027
2003,5/12/2003,43,10,Trap,Caesio cuning,35,999.9688213
2003,5/12/2003,43,10,Trap,Caesio cuning,33,836.5681066
2003,5/12/2003,43,10,Trap,Caesio cuning,37,1183.490027
2003,5/12/2003,43,10,Trap,Caesio cuning,30,626.6000187
2003,5/12/2003,43,10,Trap,Caesio cuning,38,1283.166925
2003,5/13/2003,45,10,Trap,Caesio cuning,29,565.3879448
2003,5/13/2003,45,10,Trap,Caesio cuning,27,455.244325
2003,5/13/2003,45,10,Trap,Caesio cuning,32,762.0423352
